dataset,seed,n_samples,synthetic_data_path,metrics_path,line_count,train_size,task_type,accuracy,f1,precision,recall,auc_roc,mae,mse,rmse,r2
churn,46,100,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n100/synthetic_data.csv,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n100/metrics.json,101,200,classification,0.861904761904762,0.5671641791044776,0.5588235294117647,0.5757575757575758,0.8812322851870875,,,,
churn,46,1000,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n1000/synthetic_data.csv,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n1000/metrics.json,1001,1100,classification,0.8698412698412699,0.6611570247933884,0.5594405594405595,0.8080808080808081,0.8977914740626604,,,,
churn,46,200,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n200/synthetic_data.csv,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n200/metrics.json,201,300,classification,0.8587301587301587,0.593607305936073,0.5416666666666666,0.6565656565656566,0.8777891913485133,,,,
churn,46,500,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n500/synthetic_data.csv,results/churn/100_shot/paft_fd_prior_deepseek-v4-flash/seed_46/n500/metrics.json,501,600,classification,0.8587301587301587,0.6147186147186147,0.5378787878787878,0.7171717171717171,0.8912191595807415,,,,
compas,42,100,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n100/synthetic_data.csv,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n100/metrics.json,101,200,classification,0.6609848484848485,0.659047619047619,0.6256781193490054,0.6961770623742455,0.7021844843659453,,,,
compas,42,1000,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n1000/synthetic_data.csv,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n1000/metrics.json,1001,1100,classification,0.6818181818181818,0.656441717791411,0.6673596673596673,0.6458752515090543,0.7184826310276687,,,,
compas,42,200,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n200/synthetic_data.csv,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n200/metrics.json,201,300,classification,0.6619318181818182,0.6583732057416268,0.6277372262773723,0.6921529175050302,0.7038024209658669,,,,
compas,42,500,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n500/synthetic_data.csv,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n500/metrics.json,501,600,classification,0.6751893939393939,0.6600594648166501,0.650390625,0.670020120724346,0.7140139585275517,,,,
compas,43,100,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n100/synthetic_data.csv,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n100/metrics.json,101,200,classification,0.6799242424242424,0.675,0.6464088397790055,0.7062374245472837,0.7239861350572127,,,,
compas,43,1000,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n1000/synthetic_data.csv,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n1000/metrics.json,1001,1100,classification,0.6770833333333334,0.6572864321608041,0.6566265060240963,0.6579476861167002,0.7294644431886489,,,,
compas,43,200,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n200/synthetic_data.csv,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n200/metrics.json,201,300,classification,0.6856060606060606,0.6686626746506986,0.6633663366336634,0.6740442655935613,0.7267630829700925,,,,
compas,43,500,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n500/synthetic_data.csv,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n500/metrics.json,501,600,classification,0.6837121212121212,0.6725490196078432,0.655831739961759,0.6901408450704225,0.7222476180877754,,,,
compas,44,100,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n100/synthetic_data.csv,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n100/metrics.json,101,200,classification,0.6335227272727273,0.60790273556231,0.6122448979591837,0.6036217303822937,0.6856415775511746,,,,
compas,44,1000,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n1000/synthetic_data.csv,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n1000/metrics.json,1001,1100,classification,0.6695075757575758,0.6375908618899273,0.6587982832618026,0.6177062374245473,0.7011784481486414,,,,
compas,44,200,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n200/synthetic_data.csv,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n200/metrics.json,201,300,classification,0.6429924242424242,0.6060606060606061,0.6304347826086957,0.5835010060362174,0.6989234152679944,,,,
compas,44,500,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n500/synthetic_data.csv,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n500/metrics.json,501,600,classification,0.665719696969697,0.6311389759665622,0.6565217391304348,0.607645875251509,0.7016733675757587,,,,
compas,45,100,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n100/synthetic_data.csv,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n100/metrics.json,101,200,classification,0.6325757575757576,0.5898520084566596,0.621380846325167,0.5613682092555332,0.6562325653383629,,,,
compas,45,1000,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n1000/synthetic_data.csv,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n1000/metrics.json,1001,1100,classification,0.6685606060606061,0.6162280701754386,0.6771084337349398,0.5653923541247485,0.6917155887021593,,,,
compas,45,200,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n200/synthetic_data.csv,results/compas/100_shot/paft_fd_prior_deepseek-v4-flash/seed_45/n200/metrics.json,201,300,classification,0.6524621212121212,0.6074866310160428,0.6484018264840182,0.5714285714285714,0.6821897395104077,,,,
